"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Mariahout";"Laarbeek                                ";1120;1065;35;25
"Verspreide huizen Mariahout";"Laarbeek                                ";935;885;25;25
"Land van Cuijk";"Land van Cuijk                          ";91722;77589;6325;7808
"Velp";"Land van Cuijk                          ";1395;1080;75;240
"Oud Velp";"Land van Cuijk                          ";275;240;20;15
"Nieuw Velp";"Land van Cuijk                          ";505;440;35;25
"Velp Buitengebied Zuid";"Land van Cuijk                          ";190;180;5;0
"Velp Buitengebied-Noord incl rijksweg";"Land van Cuijk                          ";215;200;5;5
"Gen. De Bonskazerne";"Land van Cuijk                          ";200;5;10;190
"Bedrijventerrein De Bons";"Land van Cuijk                          ";5;0;0;0
"Industrieterrein De Eek";"Land van Cuijk                          ";10;10;0;0
"Grave";"Land van Cuijk                          ";8575;7110;620;850
"Binnenstad-Grave";"Land van Cuijk                          ";1725;1460;105;155
"Mars";"Land van Cuijk                          ";755;655;50;50
"Bikkelkamp";"Land van Cuijk                          ";960;765;65;135
"Esterveld";"Land van Cuijk                          ";2975;2450;250;280
"Zittert";"Land van Cuijk                          ";1275;1025;95;155
"De Stoof";"Land van Cuijk                          ";870;755;50;65
"Industrieterrein Wisseveld";"Land van Cuijk                          ";5;5;5;0
"Escharen";"Land van Cuijk                          ";1225;1145;45;30
"Escharen kom";"Land van Cuijk                          ";890;840;25;20
"Escharen buitengebied-Oost";"Land van Cuijk                          ";155;135;10;10
"Escharen buitengebied West incl. Raam";"Land van Cuijk                          ";175;165;5;0
"Gassel";"Land van Cuijk                          ";1220;1150;40;25
"Gassel kom";"Land van Cuijk                          ";830;790;25;20
"Gassel buitengebied";"Land van Cuijk                          ";385;365;15;5
"Linden";"Land van Cuijk                          ";280;230;20;30
"Linden kern";"Land van Cuijk                          ";220;195;15;10
"Linden buitengebied";"Land van Cuijk                          ";65;40;0;20
"Katwijk";"Land van Cuijk                          ";505;440;35;30
"Katwijk kern";"Land van Cuijk                          ";375;325;30;15
"Katwijk buitengebied";"Land van Cuijk                          ";90;90;0;0
"Katwijk havengebied";"Land van Cuijk                          ";35;30;5;5
"Beers";"Land van Cuijk                          ";1765;1630;60;75
"Beers kern";"Land van Cuijk                          ";1365;1265;40;55
"Beers buitengebied";"Land van Cuijk                          ";405;365;20;20
"Cuijk";"Land van Cuijk                          ";18735;13710;1790;3240
"Cuijk kern";"Land van Cuijk                          ";4250;3400;390;460
"Cuijk Padbroek";"Land van Cuijk                          ";3560;2595;470;500
"Cuijk De Valuwe";"Land van Cuijk                          ";3400;1730;400;1275
"Cuijk Heeswijkse Kampen";"Land van Cuijk                          ";7185;5690;510;985
"Cuijk buitengebied ten zuid-westen";"Land van Cuijk                          ";45;40;5;5
"Cuijk industriegebied";"Land van Cuijk                          ";245;215;15;15
"Cuijk buitengebied ten westen";"Land van Cuijk                          ";50;45;0;5
"Langenboom";"Land van Cuijk                          ";2320;2160;85;80
"Langenboom buitengebied";"Land van Cuijk                          ";830;775;40;20
"Langenboom";"Land van Cuijk                          ";1490;1390;45;55
"Mill";"Land van Cuijk                          ";6370;5765;300;310
"Mill-Centrum";"Land van Cuijk                          ";1975;1760;100;105
"Mill-West";"Land van Cuijk                          ";1660;1475;90;90
"Brugse Berg";"Land van Cuijk                          ";860;760;35;65
"Mill-Zuid";"Land van Cuijk                          ";425;400;15;10
"Bedrijventerrein Het Spoor";"Land van Cuijk                          ";455;425;20;10
"Bedrijventerrein De Meeren";"Land van Cuijk                          ";40;40;0;5
"Groespeel buitengebied";"Land van Cuijk                          ";25;25;0;0
"Meren-De Gagel buitengebied";"Land van Cuijk                          ";485;455;20;10
"Achterdijk-Roijendijk buitengebied";"Land van Cuijk                          ";455;420;20;15
"Vianen";"Land van Cuijk                          ";1265;1185;30;50
"Vianen kern";"Land van Cuijk                          ";990;935;20;35
"Vianen buitengebied";"Land van Cuijk                          ";270;245;10;15
"Sint Agatha";"Land van Cuijk                          ";490;440;35;20
"Sint Agatha kern";"Land van Cuijk                          ";320;285;20;15
"Sint Agatha buitengebied";"Land van Cuijk                          ";170;150;10;10
"Haps";"Land van Cuijk                          ";2890;2700;95;100
"Haps kern";"Land van Cuijk                          ";2235;2070;75;90
"Haps buitengebied";"Land van Cuijk                          ";660;630;20;10
"Bedrijvenpark Laaracker";"Land van Cuijk                          ";0;0;0;0
"Oeffelt";"Land van Cuijk                          ";2375;2145;115;110
"Oeffelt Centrum";"Land van Cuijk                          ";2010;1805;105;95
"Oeffelt buitengebied";"Land van Cuijk                          ";365;335;15;15
"Sint Hubert";"Land van Cuijk                          ";1405;1270;85;55
"Sint Hubert";"Land van Cuijk                          ";970;865;70;35
"Sint Hubert buitengebied";"Land van Cuijk                          ";435;405;15;15
"Wilbertoord";"Land van Cuijk                          ";1120;1065;35;25
"Wilbertoord";"Land van Cuijk                          ";810;765;25;25
"Wilbertoord buitengebied";"Land van Cuijk                          ";315;300;10;0
"Wanroij";"Land van Cuijk                          ";3060;2865;110;90
"Wanroij";"Land van Cuijk                          ";2405;2245;75;80
"Bedrijventerrein Molenveld";"Land van Cuijk                          ";55;55;0;0
"Wanroij's Broek buitengebied";"Land van Cuijk                          ";605;560;35;10
"Rijkevoort";"Land van Cuijk                          ";1685;1540;70;70
"Rijkevoort Centrum";"Land van Cuijk                          ";1355;1230;60;60
"Rijkevoort buitengebied";"Land van Cuijk                          ";330;305;15;10
"Beugen";"Land van Cuijk                          ";1955;1755;125;65
"Beugen Centrum";"Land van Cuijk                          ";1335;1185;90;50
"Beugen buitengebied";"Land van Cuijk                          ";625;575;30;15
"Landhorst";"Land van Cuijk                          ";725;660;35;30
"Landhorst";"Land van Cuijk                          ";455;405;25;25
"De Peel buitengebied";"Land van Cuijk                          ";270;255;10;0
"Ledeacker";"Land van Cuijk                          ";630;575;40;20
"Ledeacker";"Land van Cuijk                          ";465;425;20;15
"Ledeacker buitengebied";"Land van Cuijk                          ";165;145;15;0
"Boxmeer";"Land van Cuijk                          ";12500;10095;1000;1405
"Boxmeer Centrum";"Land van Cuijk                          ";1940;1615;180;145
"De Elzen";"Land van Cuijk                          ";1475;1255;130;95
"Villapark 't Zand";"Land van Cuijk                          ";535;490;30;15
"Luneven";"Land van Cuijk                          ";2525;2035;165;330
"Bakelgeert-Zuid";"Land van Cuijk                          ";995;785;70;140
"Bakelgeert-Noord";"Land van Cuijk                          ";2565;1885;250;420
"Hollesteeg";"Land van Cuijk                          ";1350;1115;110;120
"Maasbroeksche Blokken";"Land van Cuijk                          ";700;600;35;70
"Bedrijventerrein Saxa Gotha";"Land van Cuijk                          ";330;240;30;60
"Boxmeer buitengebied West";"Land van Cuijk                          ";40;35;5;5
"Boxmeer buitengebied Oost";"Land van Cuijk                          ";40;40;0;0
"Sint Anthonis";"Land van Cuijk                          ";4300;3800;245;250
"Sint Anthonis";"Land van Cuijk                          ";3480;3075;165;235
"Sint Anthonis buitengebied";"Land van Cuijk                          ";820;725;80;20
"Sambeek";"Land van Cuijk                          ";1840;1655;100;90
"Sambeek Centrum";"Land van Cuijk                          ";1490;1335;75;75
"Sambeek buitengebied";"Land van Cuijk                          ";355;315;25;10
"Oploo";"Land van Cuijk                          ";1890;1725;65;100
"Oploo";"Land van Cuijk                          ";1040;950;30;55
"Oploo buitengebied";"Land van Cuijk                          ";855;775;35;40
"Stevensbeek";"Land van Cuijk                          ";780;680;45;65
"Stevensbeek";"Land van Cuijk                          ";560;475;40;55
"Stevensbeek buitengebied";"Land van Cuijk                          ";220;205;5;10
"Vortum-Mullem";"Land van Cuijk                          ";795;745;20;25
"Vortum-Mullem Centrum";"Land van Cuijk                          ";580;540;15;20
"Vortum-Mullem buitengebied";"Land van Cuijk                          ";215;210;5;5
"Groeningen";"Land van Cuijk                          ";515;480;15;20
"Groeningen  Centrum";"Land van Cuijk                          ";400;380;10;15
"Groeningen  buitengebied";"Land van Cuijk                          ";110;105;0;0
"Westerbeek";"Land van Cuijk                          ";705;650;35;20
"Westerbeek";"Land van Cuijk                          ";385;345;25;15
"Westerbeek buitengebied";"Land van Cuijk                          ";320;300;10;10
"Overloon";"Land van Cuijk                          ";4305;3410;705;190
"Overloon Centrum";"Land van Cuijk                          ";2930;2650;160;130
"Overloon buitengebied";"Land van Cuijk                          ";1375;765;545;60
"Vierlingsbeek";"Land van Cuijk                          ";2605;2390;150;60
"Vierlingsbeek Centrum";"Land van Cuijk                          ";2425;2225;145;55
"Vierlingsbeek  buitengebied";"Land van Cuijk                          ";180;165;10;5
"Holthees";"Land van Cuijk                          ";560;510;25;25
"Holthees Centrum";"Land van Cuijk                          ";465;420;20;20
"Holthees buitengebied";"Land van Cuijk                          ";95;90;0;5
"Maashees";"Land van Cuijk                          ";930;815;90;25
"Maashees Centrum";"Land van Cuijk                          ";755;655;80;15
"Maashees buitengebied";"Land van Cuijk                          ";175;165;10;5
"Landgraaf";"Landgraaf                               ";37112;28043;5981;3088
"Wijk 00 Schaesberg";"Landgraaf                               ";15925;11890;2535;1505
"Kakert";"Landgraaf                               ";1680;1270;255;155
"Lichtenberg";"Landgraaf                               ";1710;1220;275;215
"De Dormig";"Landgraaf                               ";1110;840;185;90
"De Streep";"Landgraaf                               ";1015;730;185;100
"Klinkerkwartier";"Landgraaf                               ";910;725;125;60
"Achter de Haesen";"Landgraaf                               ";555;355;90;105
"Leenhof";"Landgraaf                               ";685;540;115;35
"Schaesberg Centrum";"Landgraaf                               ";2955;2220;480;260
"Achter den Winkel";"Landgraaf                               ";1165;910;200;55
"Mijnbuurt";"Landgraaf                               ";1990;1480;310;200
"Eiske";"Landgraaf                               ";1510;1095;220;195
"Heistraat";"Landgraaf                               ";560;490;45;30
"Gravenrode";"Landgraaf                               ";90;25;60;10
"Wijk 01 Nieuwenhagen";"Landgraaf                               ";9300;7030;1450;820
"Nieuwenhagerheide";"Landgraaf                               ";3025;2250;475;300
"Oud Nieuwenhagen";"Landgraaf                               ";3510;2580;600;325
"Hoefveld";"Landgraaf                               ";1345;1095;170;75
"Op de Kamp";"Landgraaf                               ";805;590;145;70
"Exdel";"Landgraaf                               ";510;405;60;50
"Buitengebied Brunssumerheide (2)";"Landgraaf                               ";110;100;5;0
"Wijk 02 Ubach over Worms";"Landgraaf                               ";11885;9125;2000;760
"Abdissenbosch";"Landgraaf                               ";1395;1055;245;100
"Parkheide";"Landgraaf                               ";1800;1485;225;90
"Namiddagsche Driessen";"Landgraaf                               ";1145;890;175;80
"Lauradorp";"Landgraaf                               ";2955;2225;505;225
"Waubach";"Landgraaf                               ";2900;2135;560;200
"Groenstraat";"Landgraaf                               ";1015;820;155;45
"Rimburg";"Landgraaf                               ";665;510;135;20
"Brunssumerheide (1)";"Landgraaf                               ";5;5;0;0
"Landsmeer";"Landsmeer                               ";11661;9056;899;1706
"Purmerland";"Landsmeer                               ";405;355;15;30
"Purmerland";"Landsmeer                               ";405;355;15;35
"Den Ilp";"Landsmeer                               ";855;720;65;65
"Den Ilp";"Landsmeer                               ";850;725;65;65
"Landsmeer";"Landsmeer                               ";10405;7980;820;1610
"Oude dorp";"Landsmeer                               ";3085;2275;200;605
"Sportpark";"Landsmeer                               ";5;0;0;0
"Luijendijk-zuid";"Landsmeer                               ";1055;705;110;250
"Havenzathe";"Landsmeer                               ";1710;1335;140;235
"Luijendijk";"Landsmeer                               ";2295;1855;155;280
"Buitengebied";"Landsmeer                               ";650;500;95;55
"Twiske";"Landsmeer                               ";5;5;0;0
"t Lint";"Landsmeer                               ";1605;1300;120;180
"Lansingerland";"Lansingerland                           ";65594;50655;3926;11013
"Wijk 11 Bergschenhoek";"Lansingerland                           ";3550;2760;235;560
"Dorp Bergschenhoek";"Lansingerland                           ";3355;2580;220;555
"De Driehoek";"Lansingerland                           ";200;175;10;5
"Wijk 12 De Ackers";"Lansingerland                           ";8070;6250;475;1345
"Bergsche Ackers";"Lansingerland                           ";2160;1740;145;275
"Oosteindsche Ackers";"Lansingerland                           ";3970;3175;230;565
"Ackerse Zoom";"Lansingerland                           ";1935;1335;100;500
"Wijk 13 Boterdorp";"Lansingerland                           ";6080;4555;340;1185
"Beemdenbuurt";"Lansingerland                           ";1805;1425;105;275
"Eilandenbuurt";"Lansingerland                           ";2715;1980;155;575
"Boterdorpse Zoom";"Lansingerland                           ";1560;1150;75;335
"Wijk 14 Wilderszijde";"Lansingerland                           ";560;385;30;150
"Wilderszijde";"Lansingerland                           ";560;385;30;150
"Wijk 15 Oosteindsche Polder";"Lansingerland                           ";1460;1090;210;165
"Bergse Nos";"Lansingerland                           ";485;430;15;35
"Schreyracker";"Lansingerland                           ";125;100;20;10
"Hoeksekade";"Lansingerland                           ";615;365;150;100
"Weg en Land";"Lansingerland                           ";155;130;15;10
"Warmoeziersweg";"Lansingerland                           ";80;65;5;10
"Wijk 21 Berkel";"Lansingerland                           ";4915;3685;280;955
"Berkel Dorp";"Lansingerland                           ";1590;1150;85;350
"Parkbuurt";"Lansingerland                           ";1220;980;70;170
"Oranjebuurt";"Lansingerland                           ";2095;1540;115;435
"Annie M.G. Schmidtpark Midden";"Lansingerland                           ";15;15;0;0
"Wijk 22 Noordpolder";"Lansingerland                           ";4755;3880;215;660
"Bomen- en Struikenbuurt";"Lansingerland                           ";1060;770;45;245
"Sterrenbuurt";"Lansingerland                           ";1720;1395;70;255
"Edelsteenbuurt";"Lansingerland                           ";1340;1175;65;95
"Componistenbuurt";"Lansingerland                           ";640;540;35;60
"Annie M.G. Schmidtpark Noord";"Lansingerland                           ";0;0;0;0
"Wijk 23 Meerpolder";"Lansingerland                           ";6845;4925;410;1505
"Merenbuurt";"Lansingerland                           ";1735;1265;95;375
"Rivierenbuurt";"Lansingerland                           ";2770;1955;155;665
"Havenbuurt";"Lansingerland                           ";2340;1710;165;465
"Wijk 24 Noordeinde";"Lansingerland                           ";1645;1425;110;105
"Noordeinde";"Lansingerland                           ";1640;1425;110;105
"Wijk 25 Zuidpolder";"Lansingerland                           ";4845;3840;240;760
"Bloemenbuurt";"Lansingerland                           ";910;660;55;200
"Parc Rodenrijs";"Lansingerland                           ";1330;1085;65;180
"Vogelbuurt";"Lansingerland                           ";1365;1055;65;245
"Weidebloembuurt";"Lansingerland                           ";1230;1040;55;135
"Wijk 26 De Wadden";"Lansingerland                           ";2645;2105;135;410
"Rodenrijse Zoom";"Lansingerland                           ";2105;1685;110;315
"Bonfut";"Lansingerland                           ";545;420;25;95
"Berkelse Poort";"Lansingerland                           ";0;0;0;0
"Annie M.G. Schmidtpark Zuid";"Lansingerland                           ";0;0;0;0
"Wijk 27 Westpolder";"Lansingerland                           ";5620;4170;400;1055
"Bolwerk";"Lansingerland                           ";905;635;55;215
"Gouden Griffelbuurt";"Lansingerland                           ";1540;1175;105;250
"Gouden Uilbuurt";"Lansingerland                           ";1685;1315;105;265
"Gouden Hart";"Lansingerland                           ";1500;1045;125;320
"Wijk 28 Rodenrijs";"Lansingerland                           ";2700;2070;110;520
"Vlinderstrik";"Lansingerland                           ";1135;975;55;105
"Spoorhaven";"Lansingerland                           ";25;20;5;0
"Bedrijventerrein Rodenrijs";"Lansingerland                           ";30;10;0;20
"Oudeland";"Lansingerland                           ";85;75;0;10
"Toneelbuurt";"Lansingerland                           ";1395;955;55;390
"Bergboezem";"Lansingerland                           ";40;30;5;5
"Wijk 31 Bleiswijk";"Lansingerland                           ";4285;3430;260;595
"Schildersbuurt";"Lansingerland                           ";765;595;65;100
"Zeeheldenbuurt";"Lansingerland                           ";1190;880;75;235
"De Hoefslag";"Lansingerland                           ";140;125;0;10
"Oranjebuurt";"Lansingerland                           ";2120;1750;110;250
"Zeldenrust";"Lansingerland                           ";85;70;5;10
"Wijk 32 Hoekeindse Zoom";"Lansingerland                           ";6450;5095;380;980
"Molenbuurt";"Lansingerland                           ";855;730;40;80
"Sterrenbuurt";"Lansingerland                           ";1415;1155;75;180
"Bomenbuurt";"Lansingerland                           ";2030;1500;145;390
"Merenveld";"Lansingerland                           ";25;20;0;0
"Vogelbuurt";"Lansingerland                           ";1050;850;50;150
"De Tuinen";"Lansingerland                           ";1075;835;65;175
"Wijk 33 Bleiswijk Buiten";"Lansingerland                           ";1155;995;100;60
"Overbuurtse Polder";"Lansingerland                           ";735;640;65;25
"Klappolder";"Lansingerland                           ";155;125;20;15
"Rotte Zoom";"Lansingerland                           ";40;35;0;0
"Kruisweg";"Lansingerland                           ";220;190;15;20
"Prisma";"Lansingerland                           ";0;0;0;0
"Laren (NH.)";"Laren (NH.)                             ";11439;8552;1194;1693
"Laren";"Laren (NH.)                             ";11435;8550;1195;1690
"Laren-Centrum";"Laren (NH.)                             ";1760;1340;195;230
"Laren-Natuurgebied";"Laren (NH.)                             ";5;5;0;0
"Omloop";"Laren (NH.)                             ";1065;785;110;180
"Oostereng";"Laren (NH.)                             ";1170;860;135;165
"Postiljon";"Laren (NH.)                             ";405;310;40;60
"Rijksweg-Noord";"Laren (NH.)                             ";415;290;55;65
"Rijksweg-Zuid";"Laren (NH.)                             ";285;175;60;55
"Steenbergen";"Laren (NH.)                             ";1070;825;120;125
"Zevenend";"Laren (NH.)                             ";4530;3425;400;705
"Zwarte Berg";"Laren (NH.)                             ";730;535;90;115
"Leeuwarden";"Leeuwarden                              ";128810;101609;8625;18576
"Binnenstad";"Leeuwarden                              ";6710;4715;750;1235
"De Waag";"Leeuwarden                              ";1250;865;165;220
"Nieuwestad";"Leeuwarden                              ";420;280;55;80
"Oldehove";"Leeuwarden                              ";545;445;40;70
"Grote Kerkbuurt";"Leeuwarden                              ";1320;975;110;230
"Hoek";"Leeuwarden                              ";1290;895;125;270
"Blokhuisplein";"Leeuwarden                              ";570;300;110;165
"Zaailand";"Leeuwarden                              ";510;400;25;85
"Stationskwartier";"Leeuwarden                              ";800;560;120;120
"Potmargezone";"Leeuwarden                              ";8590;6385;730;1475
"Tulpenburg";"Leeuwarden                              ";590;485;40;65
"Oranjewijk";"Leeuwarden                              ";1260;930;165;165
"Achter de Hoven";"Leeuwarden                              ";2375;1770;215;390
"Schepenbuurt";"Leeuwarden                              ";925;495;50;380
"Wielenpôlle";"Leeuwarden                              ";710;490;50;170
"Huizum-Dorp";"Leeuwarden                              ";1030;905;55;75
"Huizum-Sixma";"Leeuwarden                              ";230;155;35;45
"Huizum-Bornia";"Leeuwarden                              ";1250;995;90;165
"Huizum-Badweg";"Leeuwarden                              ";220;155;35;30
"Oud-Oost";"Leeuwarden                              ";12410;9110;1185;2120
"Oldegalileën";"Leeuwarden                              ";1960;1410;185;360
"Bloemenbuurt";"Leeuwarden                              ";1345;1010;135;200
"Cambuursterpad";"Leeuwarden                              ";1940;1425;160;350
"Zamenhofpark";"Leeuwarden                              ";1550;1240;135;180
"Cambuur";"Leeuwarden                              ";580;460;35;80
"Zeeheldenbuurt";"Leeuwarden                              ";815;580;90;145
"Indische buurt";"Leeuwarden                              ";1255;865;110;280
"Molenpad";"Leeuwarden                              ";1325;960;150;220
"Welgelegen";"Leeuwarden                              ";1645;1160;185;300
"Sonnenborgh e.o.";"Leeuwarden                              ";8255;6105;970;1190
"Transvaalwijk";"Leeuwarden                              ";990;835;75;80
"Bonifatius";"Leeuwarden                              ";1470;1260;75;140
"Rengerspark";"Leeuwarden                              ";1180;400;515;260
"Vogelwijk";"Leeuwarden                              ";1455;1235;85;140
"Sonnenborgh";"Leeuwarden                              ";1720;1400;110;210
"Valeriuskwartier";"Leeuwarden                              ";1380;920;105;355
"Magere Weide";"Leeuwarden                              ";65;50;5;5
"Westeinde e.o.";"Leeuwarden                              ";3840;3210;215;415
"Westeinde";"Leeuwarden                              ";3805;3180;210;410
"Buitengebied Noordwest";"Leeuwarden                              ";35;30;0;0
"Vossepark & Helicon";"Leeuwarden                              ";5170;4145;440;585
"Vossepark";"Leeuwarden                              ";3725;3270;170;285
"Helicon";"Leeuwarden                              ";705;445;30;235
"Harlingervaart Noord";"Leeuwarden                              ";735;425;240;70
"Huizum-West";"Leeuwarden                              ";6430;5230;380;820
"Hollanderwijk";"Leeuwarden                              ";1805;1470;125;215
"Gerard Dou";"Leeuwarden                              ";1305;1125;80;105
"Julianapark";"Leeuwarden                              ";1550;1375;70;110
"Jan van Scorelbuurt";"Leeuwarden                              ";1765;1265;120;390
"Nijlân & De Zwette";"Leeuwarden                              ";4050;3030;355;670
"Nijlân";"Leeuwarden                              ";3975;2965;345;665
"De Zwette I Harlingervaart";"Leeuwarden                              ";25;20;5;0
"De Zwette II Zwettehaven";"Leeuwarden                              ";0;0;0;0
"De Zwette III Schenkenschans";"Leeuwarden                              ";10;10;0;5
"De Zwette IV Businesspark";"Leeuwarden                              ";0;0;0;0
"De Zwette V Newton";"Leeuwarden                              ";0;0;0;0
"De Zwette VI Deinumerpolder";"Leeuwarden                              ";0;0;0;0
"EnergieCampus Sylsterrak";"Leeuwarden                              ";0;0;0;0
"Buitengebied De Zwette";"Leeuwarden                              ";30;30;0;0
"Buitengebied West";"Leeuwarden                              ";5;5;0;0
"Heechterp & Schieringen";"Leeuwarden                              ";3630;1920;265;1450
"Heechterp";"Leeuwarden                              ";1750;840;105;805
"Schieringen";"Leeuwarden                              ";1875;1075;160;640
"De Centrale";"Leeuwarden                              ";5;5;0;0
"Camminghaburen e.o.";"Leeuwarden                              ";10370;8570;555;1245
"Camminghaburen-Noord";"Leeuwarden                              ";4050;3155;255;645
"Camminghaburen-Midden";"Leeuwarden                              ";3580;2990;190;400
"Camminghaburen-Zuid";"Leeuwarden                              ";2595;2300;100;190
"Grote Wielen";"Leeuwarden                              ";5;0;0;0
"De Groene Ster";"Leeuwarden                              ";140;125;10;10
"Bilgaard & Havankpark e.o.";"Leeuwarden                              ";6910;3965;510;2435
"Bilgaard";"Leeuwarden                              ";6300;3480;460;2360
"Havankpark";"Leeuwarden                              ";375;330;25;25
"Vierhuisterweg e.o.";"Leeuwarden                              ";235;155;25;55
"Vrijheidswijk";"Leeuwarden                              ";3630;2030;205;1400
"Vrijheidswijk-West";"Leeuwarden                              ";2125;1100;115;910
"Vrijheidswijk-Oost";"Leeuwarden                              ";1500;925;90;485
"Dokkumer Ie e.o.";"Leeuwarden                              ";3595;3185;140;270
"Lekkum";"Leeuwarden                              ";405;365;15;25
"Snakkerburen";"Leeuwarden                              ";200;190;10;0
"Buitengebied Lekkum en Miedum";"Leeuwarden                              ";55;50;0;0
"Blitsaerd";"Leeuwarden                              ";1250;1025;55;165
"Jelsum";"Leeuwarden                              ";165;155;5;10
"Buitengebied Jelsum";"Leeuwarden                              ";140;130;5;5
"Koarnjum";"Leeuwarden                              ";355;325;10;20
"Buitengebied Koarnjum";"Leeuwarden                              ";75;70;5;0
"Britsum";"Leeuwarden                              ";895;810;40;45
"Buitengebied Britsum";"Leeuwarden                              ";60;55;0;0
"Stiens e.o.";"Leeuwarden                              ";8625;7760;295;570
"Stiens";"Leeuwarden                              ";7545;6765;255;530
"Buitengebied Stiens";"Leeuwarden                              ";260;255;5;0
"Feinsum";"Leeuwarden                              ";115;110;5;0
"Buitengebied Feinsum";"Leeuwarden                              ";50;50;5;0
"Hijum";"Leeuwarden                              ";390;345;15;30
"Buitengebied Hijum";"Leeuwarden                              ";35;30;0;0
"Alde Leie";"Leeuwarden                              ";235;215;20;5
"Aldlân & De Hemrik";"Leeuwarden                              ";6990;5620;565;805
"Aldlân-Oost";"Leeuwarden                              ";3655;2920;235;505
"Aldlân-West";"Leeuwarden                              ";1955;1650;95;210
"Rapenburg";"Leeuwarden                              ";1070;955;40;70
"Hemrik";"Leeuwarden                              ";300;95;190;20
"Goutum";"Leeuwarden                              ";3355;3015;125;210
"Goutum";"Leeuwarden                              ";3350;3015;125;210
"Hempens/Teerns & Zuiderburen";"Leeuwarden                              ";5770;4965;255;550
"Hempens/Teerns";"Leeuwarden                              ";155;140;5;10
"Buitengebied Hempens";"Leeuwarden                              ";145;135;0;5
"Zuiderburen";"Leeuwarden                              ";5475;4685;250;540
"De Zuidlanden";"Leeuwarden                              ";4000;3575;105;320
"Techum";"Leeuwarden                              ";1940;1720;50;175
"Wiarda";"Leeuwarden                              ";1005;915;25;65
"De Werp";"Leeuwarden                              ";10;10;0;0
"De Zuidlanden";"Leeuwarden                              ";0;0;5;0
"De Klamp";"Leeuwarden                              ";1040;930;25;85
"Middelsee";"Leeuwarden                              ";140;115;10;10
"Middelsee";"Leeuwarden                              ";100;80;5;10
"Barrahûs";"Leeuwarden                              ";40;35;0;0
"Dorpen Zuid-Oost";"Leeuwarden                              ";4035;3715;140;175
"Wirdum";"Leeuwarden                              ";1065;975;50;45
"Swichum";"Leeuwarden                              ";45;40;0;5
"Buitengebied Wirdum";"Leeuwarden                              ";100;95;0;5
"Wergea";"Leeuwarden                              ";1760;1625;45;85
"Buitengebied Wergea";"Leeuwarden                              ";125;115;5;5
"Warstiens";"Leeuwarden                              ";35;30;0;0
"Warten";"Leeuwarden                              ";795;735;25;30
"Buitengebied Warten";"Leeuwarden                              ";110;95;10;0
"Dorpen Zuid-West";"Leeuwarden                              ";3925;3655;130;140
"Wytgaard";"Leeuwarden                              ";460;435;15;15
"Buitengebied Wytgaard";"Leeuwarden                              ";150;140;10;5
"Mantgum";"Leeuwarden                              ";1055;945;45;65
"Buitengebied Mantgum";"Leeuwarden                              ";75;70;0;0
"Weidum";"Leeuwarden                              ";465;445;15;10
"Buitengebied Weidum";"Leeuwarden                              ";75;70;5;5
"Jellum";"Leeuwarden                              ";145;140;5;0
"Bears";"Leeuwarden                              ";130;115;10;0
"Jorwert";"Leeuwarden                              ";225;205;5;10
"Buitengebied Jorwert";"Leeuwarden                              ";80;75;5;0
"Hilaard";"Leeuwarden                              ";235;225;0;10
"Buitengebied Hilaard";"Leeuwarden                              ";70;65;0;5
"Húns";"Leeuwarden                              ";100;100;5;0
"Leons";"Leeuwarden                              ";25;25;0;0
"Baard";"Leeuwarden                              ";205;190;5;10
"Easterlittens";"Leeuwarden                              ";370;360;10;10
"Buitengebied Easterlittens";"Leeuwarden                              ";55;55;0;0
"Grou e.o.";"Leeuwarden                              ";8390;7590;295;505
"Reduzum";"Leeuwarden                              ";985;905;30;50
"Buitengebied Reduzum";"Leeuwarden                              ";95;95;0;0
"Eagum";"Leeuwarden                              ";35;35;0;0
"Idaerd";"Leeuwarden                              ";80;75;5;0
"Friens";"Leeuwarden                              ";85;85;0;0
"Grou";"Leeuwarden                              ";5505;4930;195;385
"Buitengebied Grou";"Leeuwarden                              ";210;200;10;5
"Jirnsum";"Leeuwarden                              ";1310;1185;60;65
"Buitengebied Jirnsum";"Leeuwarden                              ";90;85;0;0
"Leiden";"Leiden                                  ";130108;82628;17082;30398
"Binnenstad-Zuid";"Leiden                                  ";8915;5620;1650;1645
"Pieterswijk";"Leiden                                  ";2975;1865;575;530
"Academiewijk";"Leiden                                  ";1940;1235;315;390
"Levendaal-West";"Leiden                                  ";1100;690;200;215
"Levendaal-Oost";"Leiden                                  ";2895;1825;560;515
"Binnenstad-Noord";"Leiden                                  ";15545;9600;2650;3295
"De Camp";"Leiden                                  ";1225;725;290;210
"Marewijk";"Leiden                                  ";3000;1890;560;555
"Pancras-West";"Leiden                                  ";1195;685;275;230
"Pancras-Oost";"Leiden                                  ";2330;1375;355;595
"d'Oude Morsch";"Leiden                                  ";850;500;175;175
"Noordvest";"Leiden                                  ";1730;980;315;440
"Havenwijk-Noord";"Leiden                                  ";615;365;115;130
"Havenwijk-Zuid";"Leiden                                  ";1810;1175;210;425
"Molenbuurt";"Leiden                                  ";550;350;95;105
